2024-08-09 11:32:30.005 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-08-09 11:32:30.247 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/running/rankList成功
2024-08-09 11:32:40.836 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-08-09 11:32:41.057 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/running/rankList成功
2024-08-09 11:32:54.350 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-08-09 11:32:54.351 | INFO | common.logger:wrapper:44 | 函数 rank_list 开始执行，入参:(<__main__.PlantPage object at 0x000002267D7B58B0>, 1, 1){}
2024-08-09 11:32:54.604 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/running/rankList成功
2024-08-09 11:32:54.605 | INFO | common.logger:wrapper:49 | 函数 rank_list 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'userInfo': {'uid': 238325, 'nickname': '西伯利亚泰坦巨龙徒手捏爆小行星', 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0Zdr6tRtOGM99RIeu8-khtY.png', 'score': '1051.3034879506424', 'rank': 104, 'province': '山东省', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, 'rankList': [{'uid': 219667, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0cDJADCIA75Z3Hq1eFI-JGs.png', 'nickname': '烟台-灵克', 'score': '19026.536334354016', 'upIcon': 1, 'level': 9, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238273, 'headimgurl': 'http://static.rfsvr.net/headimg/17045131417.png', 'nickname': 'C18006Pro', 'score': '18965.562915278286', 'upIcon': 1, 'level': 10, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 52445, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0d9gcRLXd5_fDFv-ZIkaL0c.png', 'nickname': '偶尔or行者', 'score': '14669.931406116342', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238318, 'headimgurl': 'http://static.rfsvr.net/headimg/168922313342.png', 'nickname': '铜豆', 'score': '12622.230552259582', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 165190, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0fBWSNfwCIVwXqTe8Q39k5I.png', 'nickname': 'Jungle', 'score': '10732.1317190386', 'upIcon': 1, 'level': 9, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 196852, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0b-LVqPaxuZ9KbL2SocaTlI.png', 'nickname': '张国旺', 'score': '8588.3794417515073', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238278, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0RLHsL9mkii-p-8BMrupg4c.png', 'nickname': '小树枝', 'score': '7784.6626190839743', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 120994, 'headimgurl': '', 'nickname': 'zhayo', 'score': '7602.2523329650094', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 10191, 'headimgurl': 'http://static.rfsvr.net/headimg/168947100221.jpg', 'nickname': 'MD55618', 'score': '7325.4126854200995', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238130, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0S93qJIenm5HTWkNpzklBhU.png', 'nickname': '毕梓梓', 'score': '6106.8401783287181', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238163, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0RcNw_JnIbrwze9sA2GDheE.png', 'nickname': '汗水洗车', 'score': '5353.1185120441423', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238105, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0TEuq5cBw1y5HC4MncCcHh8.png', 'nickname': '溜达', 'score': '5283.9476893827068', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238149, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0eNJe6L65_hF6hVmsr6uONI.png', 'nickname': '薛哲皓', 'score': '5116.3733592482649', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238404, 'headimgurl': 'http://static.rfsvr.net/headimg/168975950332.jpg', 'nickname': '哈皮', 'score': '4699.6544473572712', 'upIcon': 1, 'level': 10, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 150303, 'headimgurl': 'http://static.onelap.cn/headimg/162079926266.png', 'nickname': '闲趣', 'score': '4567.8212955338759', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 150387, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0Q9OgufxR8sJL3S21uODrTI.png', 'nickname': '小小原', 'score': '4528.7035841108582', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 215983, 'headimgurl': 'http://static.rfsvr.net/headimg/17067205755.jpg', 'nickname': '苍髯老贼', 'score': '4427.8056435099661', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238136, 'headimgurl': 'http://static.rfsvr.net/headimg/168973144132.jpg', 'nickname': '花开富贵', 'score': '4137.2655826590872', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238028, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0UShnMFCP3QukAFEIelts98.png', 'nickname': '骑游微笑姐', 'score': '4037.9011248143543', 'upIcon': 1, 'level': 8, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}, {'uid': 238107, 'headimgurl': 'http://static.rfsvr.net/headimg/oVwWQ0RnvqTgaAG5AHxvBdD-WhpA.png', 'nickname': 'red', 'score': '4019.8280454273895', 'upIcon': 1, 'level': 7, 'subscribe': {'has_subscribe': 0, 'expire_at': 0}}], 'specialRankList': {'newRank': [], 'fastRank': []}, 'pageCount': 15}}

2024-08-09 11:33:05.302 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-08-09 11:33:05.303 | INFO | common.logger:wrapper:44 | 函数 rank_list 开始执行，入参:(<__main__.PlantPage object at 0x00000281A88D5910>, 1, 1){}
2024-08-09 11:33:05.552 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/running/rankList成功
